label,lat,lon,level
c000,38.9057459,-76.9948875,ground
College Hall,38.9061618,-76.9951292,ground
Edward Miner Gallaudet Memorial Building,38.9066335,-76.994856,ground
Peikoff Alumni House,38.9071492,-76.9952956,ground
Appleby Building,38.9065999,-76.9975428,ground
Peet Hall,38.9072369,-76.9944353,ground
Merrill Learning Center,38.9073578,-76.9936487,ground
Washburn Arts Building,38.9084644,-76.9944159,ground
Hall Memorial Building,38.9082233,-76.9932325,ground
Living and learning residence hall,38.9078372,-76.9940759,ground
Peter J. Fine Health Center,38.9097375,-76.9911843,ground
Plaza Dining Hall,38.9092773,-76.991546,ground
Sorenson Language and Communication Center,38.9076647,-76.9925335,ground
I. King Jordan Student Academic Center,38.9067909,-76.9932389,ground
c030,38.906254,-76.993999,ground
Ely Center,38.9059853,-76.9939344,ground
Field House,38.9058838,-76.9926719,ground
Elstad Auditorium,38.9051508,-76.9932867,ground
Building 103,38.9054647,-76.9939791,ground
Kendall Hall,38.9058187,-76.9941817,ground
Fowler Hall,38.9054518,-76.9944546,ground
Gate House,38.9055814,-76.9962302,ground
Edward Miner Gallaudet Residence,38.906144,-76.9971234,ground
Ballard House,38.9066656,-76.996929,ground
Fay House,38.9068841,-76.996742,ground
Denison House,38.9071045,-76.9965774,ground
Ballard West,38.9091589,-76.992863,ground
Ballard North,38.9095625,-76.9922933,ground
Carlin Hall,38.9089026,-76.9909724,ground
Clerc Hall,38.9084854,-76.9914759,ground
Benson Hall,38.9081137,-76.9917585,ground
Kellogg Conference Hotel,38.9077774,-76.9951023,ground
Central Utilities Building,38.910173,-76.992158,ground
Entrance Florida Ave,38.904862482185614,-76.9948321396346,ground
c062,38.90530080703424,-76.9946873003617,ground
c063,38.905167222599815,-76.99436007088684,ground
c001,38.90570573331585,-76.99569044644119,ground
c002,38.90571408227301,-76.99606595567093,ground
c003,38.90585601466403,-76.99617324403972,ground
Alice Cogswell Statue,38.90552205570543,-76.99512718261846,ground
c004,38.9061857975878,-76.99673650790297,ground
c005,38.90656149777855,-76.99679551654755,ground
c006,38.90678274254425,-76.99662921959886,ground
c007,38.90702068423328,-76.99647901589977,ground
